name,price,link
Moteriškos kelnės su vilna,32.0,https://e-vintage.humana.lt//collections/moterims/products/moteriskos-kelnes-su-vilna-5
BRANDTEX moteriškos kelnės,25.0,https://e-vintage.humana.lt//collections/moterims/products/brandtex-moteriskos-kelnes
PAUL & SHARK vilnonis šalikas,35.0,https://e-vintage.humana.lt//collections/moterims/products/glen-saxon-salikas-su-moheros-vilna
ANN GREEN moteriškos laisvalaikio kelnės,19.0,https://e-vintage.humana.lt//collections/moterims/products/ann-green-moteriskos-laisvalaikio-kelnes
HIGHLAND CROWN šalikas su moheros vilna,32.0,https://e-vintage.humana.lt//collections/moterims/products/highland-crown-salikas-su-moheros-vilna
Moteriška palaidinė,23.0,https://e-vintage.humana.lt//collections/moterims/products/moteriska-palaidine-178
FIGURA FINLAND moteriška palaidinė,23.0,https://e-vintage.humana.lt//collections/moterims/products/figura-finland-moteriska-palaidine
VIRGINIA moteriška palaidinė,23.0,https://e-vintage.humana.lt//collections/moterims/products/virginia-moteriska-palaidine
Moteriška suknelė,27.0,https://e-vintage.humana.lt//collections/moterims/products/moteriska-suknele-185
ORNELLA RUFFI moteriškas megztinis su pamušalu,39.0,https://e-vintage.humana.lt//collections/moterims/products/ornella-ruffi-moteriskas-megztinis-su-pamusalu
NICOLINE moteriška palaidinė,17.0,https://e-vintage.humana.lt//collections/moterims/products/nicoline-moteriska-palaidine
GOOD COMPANY moteriškas megztinis,23.0,https://e-vintage.humana.lt//collections/moterims/products/good-company
FEMINELLA moteriška palaidinė,17.0,https://e-vintage.humana.lt//collections/moterims/products/feminella-palaidine-palaidine
MARKFORE & STRIKE moteriškas megztinis su vilna,25.0,https://e-vintage.humana.lt//collections/moterims/products/markfore-strike-moteriskas-megztinis-su-vilna
MONDI moteriškas megztinis su vilna,27.0,https://e-vintage.humana.lt//collections/moterims/products/mondi-moteriskas-megztinis-su-vilna-3
BOGNER moteriškas megztinis su moheros vilna,32.0,https://e-vintage.humana.lt//collections/moterims/products/bogner-moteriskas-megztinis-su-vilna
KABRI moteriškas megztinis su angora,29.0,https://e-vintage.humana.lt//collections/moterims/products/kabri-moteriskas-megztinis-su-angora
Moteriškas švarkas,25.0,https://e-vintage.humana.lt//collections/moterims/products/moteriskas-svarkas-53
JOSEPHINE moteriška palaidinė,17.0,https://e-vintage.humana.lt//collections/moterims/products/josephine-moteriska-palaidine-1
ARMANI JEANS vyriški marškinėliai,29.0,https://e-vintage.humana.lt//collections/moterims/products/armani-jeans-vyriski-marskineliai
GLEN CASTLE moteriškas kašmyrinis megztinis,42.0,https://e-vintage.humana.lt//collections/moterims/products/glen-castle-moteriskas-kasmyrinis-megztinis
RABERG moteriškos odinės kelnės,32.0,https://e-vintage.humana.lt//collections/moterims/products/raberg-moteriskos-odines-kelnes
FORTE & SONS moteriškas sijonas,15.0,https://e-vintage.humana.lt//collections/moterims/products/forte-sons-moteriskas-sijonas
LAUREL moteriška liemenė su vilna,29.0,https://e-vintage.humana.lt//collections/moterims/products/laurel-moteriska-liemene-su-vilna
POLAR BEAR moteriška liemenė,27.0,https://e-vintage.humana.lt//collections/moterims/products/polar-bear-moteriska-liemene
ANNALISA FERRO moteriškas sijonas,29.0,https://e-vintage.humana.lt//collections/moterims/products/annalisa-ferro-moteriskas-sijonas
MOORMANN moteriškas sijonas,23.0,https://e-vintage.humana.lt//collections/moterims/products/moormann-moteriskas-sijonas
CAP moteriškos kelnės,25.0,https://e-vintage.humana.lt//collections/moterims/products/cap-moteriskos-kelnes-1
MOSCHINO JEANS moteriškas sijonas su vilna,45.0,https://e-vintage.humana.lt//collections/moterims/products/moschino-jeans-moteriskas-sijonas-su-vilna
Moteriški šortai su vilna,17.0,https://e-vintage.humana.lt//collections/moterims/products/moteriski-sortai-su-vilna-1
VERA MONT moteriškas sijonas,25.0,https://e-vintage.humana.lt//collections/moterims/products/vera-mont-moteriskas-sijonas-9
MEIGE ELLESSE moteriškos kelnės,23.0,https://e-vintage.humana.lt//collections/moterims/products/meige-moteriskos-kelnes
Moteriška palaidinė,19.0,https://e-vintage.humana.lt//collections/moterims/products/moteriska-palaidine-185
Moteriška palaidinė,15.0,https://e-vintage.humana.lt//collections/moterims/products/moteriska-palaidine-184
KLASSE moteriška palaidinė,17.0,https://e-vintage.humana.lt//collections/moterims/products/klasse-moteriska-palaidine
TRIANGLE moteriškas megztinis,25.0,https://e-vintage.humana.lt//collections/moterims/products/triangle-moteriskas-megztinis-1
BLUE RINSE moteriškas megztinis,29.0,https://e-vintage.humana.lt//collections/moterims/products/blue-rinse-moteriskas-megztinis
PIERRE CARDIN moteriškas megztinis su vilna,25.0,https://e-vintage.humana.lt//collections/moterims/products/pierre-cardin-moteriskas-megztinis-su-vilna
FREDE MODELL moteriška palaidinė,17.0,https://e-vintage.humana.lt//collections/moterims/products/frede-modell-moteriska-palaidine
BIRIBI moteriška palaidinė,15.0,https://e-vintage.humana.lt//collections/moterims/products/biribi-moteriska-palaidine
GASELL moteriška palaidinė,17.0,https://e-vintage.humana.lt//collections/moterims/products/gasell-moteriska-palaidine-1
Moteriška palaidinė,25.0,https://e-vintage.humana.lt//collections/moterims/products/moteriska-palaidine-183
Moteriška palaidinė,19.0,https://e-vintage.humana.lt//collections/moterims/products/moteriska-palaidine-182
WICHELE moteriškos kelnės,19.0,https://e-vintage.humana.lt//collections/moterims/products/wichele-moteriskos-kelnes
Moteriška liemenė,17.0,https://e-vintage.humana.lt//collections/moterims/products/moteriska-liemene-14
ESCADA moteriški vilnoniai šortai - sijonas,42.0,https://e-vintage.humana.lt//collections/moterims/products/escada-moteriski-vilnoniai-sortai-sijonas
FUNDAMENTAL THINGS moteriškos kelnės,23.0,https://e-vintage.humana.lt//collections/moterims/products/fundamental-things-moteriskos-kelnes
VIVACE moteriškas sijonas,17.0,https://e-vintage.humana.lt//collections/moterims/products/vivace-moteriskas-sijonas
JOSEPH RIBKOFF moteriška palaidinė,19.0,https://e-vintage.humana.lt//collections/moterims/products/joseph-ribkoff-moteriska-palaidine-9
PAUW moteriška vilnonė liemenė,23.0,https://e-vintage.humana.lt//collections/moterims/products/pauw-moteriska-vilnone-liemene
BOGNER moteriška liemenė,23.0,https://e-vintage.humana.lt//collections/moterims/products/bogner-moteriska-liemene-3
LANDLUBBER  kelnės su vilna,25.0,https://e-vintage.humana.lt//collections/moterims/products/landlubber-kelnes-su-vilna-1
Moteriškos kelnės,27.0,https://e-vintage.humana.lt//collections/moterims/products/moteriskos-kelnes-49
FORSET moteriškos kelnės,25.0,https://e-vintage.humana.lt//collections/moterims/products/forset-moteriskos-kelnes
JINGLERS moteriškas džinsinis sijonas,25.0,https://e-vintage.humana.lt//collections/moterims/products/jinglers-moteriskas-dzinsinis-sijonas
Moteriška šilkinė skara,29.0,https://e-vintage.humana.lt//collections/moterims/products/copy-of-moteriska-silkine-skara
VALLEVERDE moteriška odinė rankinė,32.0,https://e-vintage.humana.lt//collections/moterims/products/copy-of-j-perez-moteriska-odine-rankine
J. PEREZ moteriška odinė rankinė,29.0,https://e-vintage.humana.lt//collections/moterims/products/copy-of-moteriska-rankine-2
Moteriška rankinė,19.0,https://e-vintage.humana.lt//collections/moterims/products/copy-of-moteriska-rankine-siuvineta-karoliukais
Moteriška rankinė siuvinėta karoliukais,15.0,https://e-vintage.humana.lt//collections/moterims/products/moteriska-rankine-91
QUININA moteriška suknelė,23.0,https://e-vintage.humana.lt//collections/moterims/products/quinina-moteriska-suknele
ROGERO moteriška suknelė,19.0,https://e-vintage.humana.lt//collections/moterims/products/rogero-moteriska-suknele
Moteriška suknelė,23.0,https://e-vintage.humana.lt//collections/moterims/products/moteriska-suknele-187
